OBS,YGR,INFL,INT
1981Q1,1.578967444,6.664778157,8.5153
1981Q2,2.384141139,4.356789682,7.120033333
1981Q3,1.463945653,3.984590855,7.2509
1981Q4,0.56870195,3.972388232,6.850266667
1982Q1,1.264016944,3.478611609,6.609233333
1982Q2,0.787666084,3.057095621,7.172233333
1982Q3,1.048078025,2.837644794,7.1183
1982Q4,0.966978304,2.602749524,6.841233333
1983Q1,-0.03244121,2.293401663,6.635666667
1983Q2,0.384148631,1.908606644,6.190933333
1983Q3,0.683828814,1.507366899,6.458766667
1983Q4,0.738073274,1.607562554,6.283666667
1984Q1,1.926156793,1.891309331,6.181766667
1984Q2,1.851082821,2.143078317,5.8443
1984Q3,1.64286158,2.257783722,6.152766667
1984Q4,1.192296814,2.268891791,6.2211
1985Q1,1.841611487,2.429269257,6.248733333
1985Q2,2.017100883,2.09811244,6.068566667
1985Q3,2.366869843,2.019500906,6.254033333
1985Q4,3.022930279,1.397039901,7.281833333
1986Q1,2.068149147,1.437241079,6.053
1986Q2,1.107096459,1.051455425,4.435733333
1986Q3,0.399414872,0.526713031,4.562533333
1986Q4,0.339192736,0.224719196,4.120733333
1987Q1,0.384629764,-0.150319457,3.998033333
1987Q2,0.933049863,0.074682602,3.281766667
1987Q3,1.649026516,0.486618965,3.248933333
1987Q4,1.916434595,0.55959855,3.524966667
1988Q1,3.357611627,0.52513249,3.488566667
1988Q2,2.180684268,0.372578672,3.332366667
1988Q3,2.437837673,0.335508236,3.778133333
1988Q4,1.713849065,0.556484463,3.888566667
1989Q1,2.304807101,0.967989688,3.909163333
1989Q2,1.292752225,2.642355566,4.360843333
1989Q3,1.045751556,2.897690361,5.18326
1989Q4,1.629513739,2.952647518,6.035366667
1990Q1,0.407579526,3.172554132,6.516263333
1990Q2,2.210698225,2.078927918,7.100173333
1990Q3,2.394038492,2.252105908,7.441213333
1990Q4,0.814796089,3.007479453,7.90952
1991Q1,1.691311123,3.10979123,8.080536667
1991Q2,0.823882432,2.970688483,8.03167
1991Q3,-0.107244106,2.926018566,7.26074
1991Q4,0.277407052,2.308457375,6.454876667
1992Q1,0.175917854,2.168386456,5.543336667
1992Q2,-0.126350532,2.549857677,4.680296667
1992Q3,0.154824243,2.206845628,4.20153
1992Q4,-0.604381568,2.02299549,3.90545
1993Q1,0.389385303,1.688088702,3.389966667
1993Q2,-0.179855293,1.267528645,3.134176667
1993Q3,-0.738556236,1.201616594,3.020263333
1993Q4,-0.094848623,0.996354971,2.418153333
1994Q1,-0.528753224,0.899856097,2.195596667
1994Q2,0.310256827,0.890947982,2.046273333
1994Q3,0.852590347,0.661378072,2.069856667
1994Q4,-0.085553356,0.395778881,2.202976667
1995Q1,0.053741825,0.364299128,2.15471
1995Q2,1.296684264,-0.131492458,1.320103333
1995Q3,0.411212668,-0.098928285,0.746666667
1995Q4,0.987781092,0.164446674,0.403333333
1996Q1,1.288835125,-0.066137569,0.403333333
1996Q2,0.680723188,0.131492458,0.413333333
1996Q3,0.458711069,0.263591586,0.406666667
1996Q4,0.899051914,0.295324251,0.423333333
1997Q1,0.850159364,0.527879814,0.436666667
1997Q2,0.060345583,1.984127539,0.436666667
1997Q3,0.378630733,2.148520145,0.436666667
1997Q4,-0.437252158,2.20358884,0.423333333
1998Q1,-1.190503954,1.858244179,0.433333333
1998Q2,-0.855802376,0.064391503,0.416666667
1998Q3,-1.00571582,-0.225697339,0.363333333
1998Q4,-0.612627454,-0.321027563,0.216666667
1999Q1,0.005741904,-0.096946202,0.12
1999Q2,0.202013379,-0.032190568,0.01
1999Q3,-0.019407176,0,0.01
1999Q4,-0.172689486,-0.128700146,0.01
2000Q1,1.308259135,-0.161786154,0.013333333
2000Q2,1.171870785,-0.257898273,0.01
2000Q3,1.107695583,-0.226207884,0.126666667
2000Q4,0.642747255,-0.710826903,0.23
2001Q1,0.540395579,-0.91087162,0.183333333
2001Q2,0.453439499,-0.90791804,0.01
2001Q3,0.147230222,-0.942636591,0.007666667
2001Q4,-0.137020858,-0.879341279,0.001
2002Q1,-0.285668083,-0.75447299,0.001
2002Q2,0.350161444,-0.883369068,0.001
2002Q3,0.904094988,-0.85274377,0.001
2002Q4,1.121739311,-0.78818142,0.001
2003Q1,1.034793277,-0.693873592,0.001
2003Q2,0.74811079,-0.395127284,0.001
2003Q3,0.794714867,-0.131839175,0.001
2003Q4,0.914778852,0,0.001
2004Q1,1.839729881,-0.066334994,0.001
2004Q2,1.394777675,-0.198150659,0.001
2004Q3,1.000188077,-0.13201322,0.001
2004Q4,0.484727299,-0.164989313,0.001
2005Q1,0.243533779,-0.066379027,0.001
2005Q2,0.577853298,-0.033063317,0.001
2005Q3,0.55261853,-0.198347172,0.001
2005Q4,0.641873989,-0.132187726,0.001
2006Q1,1.0026304,0,0.001
2006Q2,0.558499952,0.033063317,0.005333333
2006Q3,0.330527953,0.231366819,0.179
2006Q4,0.668641876,0.132187726,0.212
2007Q1,1.086382311,-0.132890385,0.329666667
2007Q2,0.701900948,-0.099222763,0.452666667
2007Q3,0.8461039,-0.099091668,0.447333333
2007Q4,0.607672004,0.428407312,0.451333333
2008Q1,0.577939963,0.992399809,0.451
2008Q2,-0.038783236,1.412870554,0.450666667
2008Q3,-0.192247336,2.319228562,0.450333333
2008Q4,-1.885070122,1.014240659,0.300666667
2009Q1,-4.222989793,-0.032921811,0.08
2009Q2,-2.686919996,-0.950670985,0.08
2009Q3,-2.438183348,-2.352280951,0.08
2009Q4,0.052629706,-1.740316456,0.077
2010Q1,2.323647417,-0.959477998,0.07
2010Q2,2.082412815,-0.959795553,0.07
2010Q3,2.656828606,-1.130331183,0.07
2010Q4,1.447357182,-0.798141916,0.061
2011Q1,0.098918383,-0.767565924,0.06
2011Q2,-0.428529699,-0.266400424,0.059
2011Q3,0.244388118,0.167028601,0.05
2011Q4,0.343134812,-0.167084416,0.05
2012Q1,1.844833576,0.100452043,0.05
2012Q2,1.748852524,-0.033350009,0.05
2012Q3,0.214159768,-0.233918235,0.05
2012Q4,0.210535013,-0.100384817,0.05
2013Q1,0.087288284,-0.335233301,0.046666667
2013Q2,0.384381176,0,0.041
2013Q3,0.709950741,0.700119546,0.041
2013Q4,0.570784816,1.098729215,0.041
2014Q1,1.123282774,1.301102592,0.041
2014Q2,-0.257255991,3.281134231,0.041
2014Q3,-0.809457712,3.107363662,0.032
2014Q4,-0.395099008,2.679023337,0.031
2015Q1,-0.632809159,2.099125944,0.031
