parameters,comment,mean,stdd,mask,shape,upper,lower
coefrra,aa,1,0.1,0,3,10,0.5
frisch,aa,0.5,0.1,0,3,1,0.1
adjfricshgridfrac,ss,0.85,0.05,0,3,1,0.5
ceselast,ss,10,0.03,1,0,20,-5
priceadjust,ss,100,10,0,3,200,0
taylor_inflation,w,1.25,0.2,0,3,10,1
taylor_outputgap,w,0.1,0.05,0,3,0.7,-0.1
labtax,w,0.2,0.006,1,0,1,-1
govbondtarget,ww,6,0.1,1,0,10,-2.5
lumptransferpc,ww,0.06,0.5,1,0,5,0
govbcrule_fixnomB,ww,0,0.075,1,0,5,0
ssigma_MP,ww,0.025,5,0,4,0.5,0.01
ttheta_MP,ww,0.25,0.1,0,1,0.8,0.05
ssigma_FP,ww,0.1,5,0,4,0.8,0.01
ttheta_FP,ww,0.25,0.1,0,1,0.8,0.05
ssigma_TFP,w,0.1,5,0,4,0.8,0.01
ttheta_TFP,w,0.25,0.1,0,1,0.8,0.05
,,,,,,,
,,,,,,,
,,, ,,,,
